Name	Ratio	Tags
Supraland Six Inches Under	92.41%	00001100000110001101101001
DEADBOLT	92.40%	10101001011001000000000001
Bendy and the Dark Revival	92.39%	10111101001010010000001000
eden*	92.39%	11111111111111111111111011
Geometry Dash	92.38%	10111101010000001000000100
Smile For Me	92.38%	00010000010110010001001000
WorldBox - God Simulator	92.36%	10000010000001100000010000
Airships: Conquer the Skies	92.36%	00000001010000000000100000
My Summer Car	92.35%	10001110000010000000011000
Pavlov VR	92.35%	10101010000000000000111001
Free to Play	92.35%	00000000010000000010000000
Zup! 2	92.35%	10111100010010000011000000
Judgment	92.35%	00100100000100000000000000
Transistor	92.34%	10101101101000010000000000
Spyro&trade; Reignited Trilogy	92.33%	00111100001000101001000000
Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad	92.33%	10111010010011010000000100
Songs for a Hero - Definitive Edition	92.33%	10110100111001111000000000
My Singing Monsters	92.32%	00010010000000001011000000
Strange Horticulture	92.32%	00000110011010011100000000
The Upturned	92.31%	00101100000100010100000000
Symphony of War: The Nephilim Saga	92.30%	10001101110001110000000000
I Was a Teenage Exocolonist	92.30%	00000010100000010000000000
PC Building Simulator	92.29%	10011010001110000000001000
Into the Breach	92.29%	10001011100011000000000000
Chronicon	92.29%	10101100110001100000000000
Yoku's Island Express	92.28%	10000000000000000000000000
Agent A: A puzzle in disguise	92.28%	10011100001010000000000000
Deus Ex: Game of the Year Edition	92.27%	00101000101000010000001001
Behind the Frame: The Finest Scenery	92.26%	00001000101010010101001010
Songs of Syx	92.26%	00001011010001100000010000
??	92.26%	00000000010000000000000000
Project Zomboid	92.25%	10001110110000000000110000
Disney Dreamlight Valley	92.25%	00011110000100011100010000
Poly Bridge 2	92.25%	10001011000010000001000000
Unreal Tournament: Game of the Year Edition	92.25%	00101000001000000000101001
POPGOES Arcade	92.25%	10001000110001000100000100
Coffee Talk	92.24%	10011010001001110000000010
Cities: Skylines	92.23%	00111011000000000000000000
House Flipper	92.23%	10011010000100000000001000
Geometry Arena	92.23%	00111001010000000000010001
Sizeable	92.23%	10011001001110101101000000
SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated	92.22%	00111100000000011000100000
LiEat	92.22%	10011100110001111001000010
Tiny Bunny: Prologue	92.22%	11101100011000010010100010
Tabletop Simulator	92.21%	10010011100100000000101000
Darkwood	92.21%	10101100101000000100100000
Vampire: The Masquerade - Bloodlines	92.21%	00101100101000010000001000
Griftlands	92.20%	00001001111000010000000000
Botanicula	92.20%	00011100011010011101000000
Knights College	92.20%	00011110010000111001000010
Bloody Hell	92.20%	11101100010001000010000000
A Dance of Fire and Ice	92.19%	10111000011000000000000000
The Walking Dead: The Final Season	92.19%	00101100001000010000100000
Mount Your Friends	92.19%	10011010010000000000100000
SANABI	92.19%	10101100011001010000010000
Cult of the Lamb	92.18%	00101101010000101001000000
BABBDI	92.18%	01011100001000000110001000
CARRION	92.17%	10101100011011000000000000
RED HOT VENGEANCE	92.17%	11101000000000000010000001
Hylics 2	92.17%	10001100100001010000000000
Tales of Maj'Eyal	92.16%	10000000000000000000000000
King Exit	92.15%	10001100100000010000000010
Majotori	92.15%	10010100000000110001000010
Super Animal Royale	92.13%	10110100000000001011100001
Caves of Qud	92.13%	10000101100001010100010000
10 Minutes Till Dawn	92.13%	00100000110001000000000101
Boneraiser Minions	92.13%	10111000110001000000010100
Grim Dawn	92.12%	10101100101000100000100000
Dungeons 3	92.12%	00001011000000000000100000
Floating Point	92.12%	10111000010010000010000000
Later Alligator	92.12%	10011100010010000001000000
Hyperdimension Neptunia Re;Birth1	92.11%	00111101100000010001000010
Pilgrims	92.09%	10011100010010000001000000
Some Some Convenience Store	92.08%	10011110010011010001000011
???? The Shell of Permafrost	92.08%	01000000000000000000000010
Lucy -The Eternity She Wished For-	92.07%	10011110010000110001000010
BROK the InvestiGator	92.07%	00100100111000010000000000
Tetris&reg; Effect: Connected	92.06%	10011000000010001000100000
Nova Lands: Emilia's Mission	92.06%	10000000000000000000000000
Skullgirls 2nd Encore	92.05%	10101000010000010000100110
Timberborn	92.05%	00001001000100000000010000
Dogs Organized Neatly	92.05%	10011000011010001001000000
Cat Quest	92.04%	10111100110000100001100000
YOU and ME and HER: A Love Story	92.04%	00001100000000010001000010
SpeedRunners	92.02%	10101000010000000000100100
EARTH DEFENSE FORCE 4.1 The Shadow of New Despair	92.02%	00101000000000000000100011
